Sr. No.,Test case name,Test Objective,Steps,Action,Expected Result,Actual Result,Test Data,"Result 
(Chrome)",Comments
1,Company_Profile,Verify if the user can access Company Details in company profile page,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,"Company Name, Company Website, Company Logo are changed to Buisness Name, Buisness Website, Buisness Logo."
,,,,,,,,,
Company Name Input Field,,,,,,,,,
2,Company_Profile,Verify the Company name input field is editable,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,Company name input field is renamed as Buisness name input field. The buisness name registered on registration page is shown in buisness name with non editable input field
,,,2,Go to company name input field and start typing,The company name input field should be editable,The company name input field is not editable,,Fail,
,,,,,,,,,
3,Company_Profile,Verify the Company name input field Accepts alphabets only and not numbers,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,Company name input field is renamed as Buisness name input field
,,,2,Go to company name input field and start typing numbers,"""company name is required"" error should be displayed","The company name input field is not editable ""company name is required"" error is displaying",,Fail,
,,,,,,,,,
4,Company_Profile,Verify the Company name input field Accepts minimum 2 charecters.,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,Company name input field is renamed as Buisness name input field
,,,2,Go to company name input field and start typing only one charecter,"""Company name must be at least 2 characters"" error should be displayed","The company name input field is not editable""Company name must be at least 2 characters"" error is displaying",,Fail,
,,,,,,,,,
5,Company_Profile,Verify the Company name input field has maximum 50 charecters limit.,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,Company name input field is renamed as Buisness name input field
,,,2,Go to company name input field and start typing above 50  charecter,"""Company name must not exceed 50 characters"" error should be displayed","The company name input field is not editable ""Company name must not exceed 50 characters"" error should be displayed",,Fail,
,,,,,,,,,
6,Company_Profile,Verify the Company name input field should not allow special charecters,1,Click on company profile on left navigation plane,"""The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,
,,,2,Go to company name input field and start typing special charecters,"""Only characters allowed"" error should be displayed","The company name input field is not editable ""Only characters allowed"" error should be displayed",,Fail,
,,,,,,,,,
7,Company_Profile,Verify the Company name input field throw error message if its empty,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,
,,,2,Go to company name input field click inside and then outside,"""Company name is required"" error should be displayed","""Company name is required"" error should be displayed",,Pass,
,,,,,,,,,
Company Website Input Field,,,,,,,,,
8,Company_Profile,Verify the Company website input field is editable,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,Company website is renamed to buisness website
,,,2,"Go to Company website input field, click and start typing  ","""Company website"" input field should be editable","not editable ""Company website"" input field should be editable",,Fail,
,,,,,,,,,
9,Company_Profile,"Verify the ""https://"" should appear when user start typing in company website input box",1,Click on company profile on left navigation plane,"""The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,Company website is renamed to buisness website
,,,2,"Go to Company website input field, click and start typing  ","""https://"" should appear in company website input field","Not editable ""https://"" should appear in company website input field",,Fail,
,,,,,,,,,
10,Company_Profile,Verify the backspace functionality working in Company website input field,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,Company website is renamed to buisness website
,,,2,"Go to Company website input field, click and start typing  and hit backspace","charecters should be deleted with only ""https://"" visible ","Not editable 2 times ""https://"" is visible ",,failed,"""https://https:/"""
,,,,,,,,,
11,Company_Profile,"verify the copy and paste functionality is working in ""Company website"" input field by mouse.",1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,Company website is renamed to buisness website
,,,2,"copy the url, Go to Company website input field, right click mouse, select paste.",the pasted url should visible in company website input field,the pasted url is not visible in company website input field,,failed,"used urls
1. https://www.rolex.com/en-us
2. https://mcdelivery.co.in/"
,,,,,,,,,
12,Company_Profile,"verify the copy and paste functionality is working in ""Company website"" input field by keyboard (CTRL+C and CTRL+V)",1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,Company website is renamed to buisness website
,,,2,"copy the url (CTRL+C), Go to Company website input field, Paste (CTRL+V).",the pasted url should visible in company website input field,the pasted url is not visible in company website input field,,failed,
,,,,,,,,,
13,Company_Profile,verify adding only extension (https://www.com) Company website input field,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,Company website is renamed to buisness website
,,,2,Go to company website input field and start typing (https://www.com),"""Invalid website address"" message should throw",field not editable No error message displayed,,failed,
,,,,,,,,,
